star,period_days,mV_mean,distance_pc
U Aql,7.023958,6.446,594
SZ Aql,17.140849,8.599,1898
TT Aql,13.754707,7.141,1055
FF Aql,4.470916,5.372,441
FM Aql,6.114230,8.270,890
FN Aql,9.481603,8.382,1473
V336 Aql,7.303976,9.848,2053
V493 Aql,2.987751,11.083,2024
V496 Aql,6.807055,7.751,1043
V526 Aql,4.211200,12.708,3437
V600 Aql,7.238748,10.037,1617
V916 Aql,13.441550,10.785,2387
V1162Aql,5.376100,7.798,1249
V1344Aql,7.478030,7.767,882
Eta Aql,7.176735,3.897,266
V340 Ara,20.809000,10.164,4819
Y Aur,3.859502,9.607,1816
RT Aur,3.728190,5.446,426
RX Aur,11.623537,7.655,1652
SY Aur,10.144698,9.074,2277
YZ Aur,18.193212,10.332,4876
AN Aur,10.290560,10.455,3559
AO Aur,6.763006,10.860,4107
AX Aur,3.046640,12.412,4296
BK Aur,8.002432,9.427,2360
CO Aur,1.783010,7.706,611
CY Aur,13.847650,11.851,5941
ER Aur,15.690730,11.520,8243
EW Aur,2.659560,13.513,6274
FF Aur,2.120530,13.698,6090
