index_block,RELPHOT,REDMAG,DSUN,DEARTH,PA,ELONG,ELAT,OBS_TIME
0,T,F,3.008,2.0819,7.58,113.8,18.86,2015 Dec 31.07
1,T,F,3.0399,2.1776,10.65,106.61,18.76,2016 Feb 5.84
2,T,F,3.0485,2.2586,12.96,105.5,18.2,2016 Feb 15.38
3,T,F,3.0573,2.3575,14.96,104.92,17.54,2016 Feb 24.94
4,T,F,3.0574,2.3585,14.98,104.92,17.53,2016 Feb 25.03
5,T,F,3.0574,2.3587,14.99,104.92,17.53,2016 Feb 25.05
6,T,F,3.0577,2.3617,15.04,104.91,17.51,2016 Feb 25.32
7,T,F,3.0651,2.4553,16.3,104.87,16.9,2016 Mar 4.26
8,T,F,3.068,2.4936,16.8,104.96,16.6,2016 Mar 7.33
9,T,F,3.0799,2.6604,18.1,105.86,15.6,2016 Mar 19.91
10,T,F,3.4386,2.453,3.2,185.88,9.0,2017 Apr 2.31
11,T,F,3.4393,2.4551,3.4,185.7,9.0,2017 Apr 3.24
12,T,F,3.4408,2.4603,3.9,185.32,8.9,2017 Apr 5.18
13,T,F,3.4416,2.4635,4.1,185.13,8.8,2017 Apr 6.19
14,T,F,3.4476,2.4991,6.3,183.66,8.4,2017 Apr 14.27
15,T,F,3.4483,2.5049,6.6,183.49,8.3,2017 Apr 15.28
16,T,F,3.4506,2.5239,7.5,183.0,8.1,2017 Apr 18.35
17,T,F,3.4527,2.5443,8.3,182.56,7.9,2017 Apr 21.27
18,T,F,3.4549,2.5673,9.1,182.14,7.7,2017 Apr 24.24
19,T,F,3.5747,2.6179,6.0,248.85,-8.5,2018 May 9.37
20,T,F,3.5746,2.6129,5.7,248.69,-8.6,2018 May 10.35
21,T,F,3.5741,2.5951,4.7,247.99,-8.8,2018 May 14.34
22,T,F,3.5739,2.5914,4.4,247.82,-8.9,2018 May 15.33
23,T,F,3.5733,2.5793,3.5,247.08,-9.1,2018 May 19.33
24,T,F,3.5732,2.577,3.3,246.89,-9.1,2018 May 20.32
25,T,F,3.5724,2.5697,2.7,245.94,-9.3,2018 May 25.32
26,T,F,3.5722,2.5691,2.6,245.75,-9.4,2018 May 26.30
27,T,F,3.5711,2.5716,3.2,244.59,-9.6,2018 Jun 1.29
28,T,F,3.571,2.5731,3.4,244.4,-9.6,2018 Jun 2.28
29,T,F,3.5708,2.5748,3.6,244.21,-9.7,2018 Jun 3.28
30,T,F,3.5688,2.6068,6.1,242.42,-9.9,2018 Jun 13.19
31,T,F,3.2944,2.3196,5.85,309.89,-19.32,2019 Aug 3.17
32,T,F,2.9121,2.0876,13.35,40.46,-2.95,2020 Sep 21.03
33,T,F,2.9115,2.0785,13.08,40.38,-2.9,2020 Sep 22.01
34,T,F,2.911,2.0699,12.81,40.3,-2.84,2020 Sep 22.95
35,T,F,2.9078,2.0186,10.93,39.65,-2.49,2020 Sep 29.04
36,T,F,2.892,1.906,2.65,33.18,-0.04,2020 Nov 2.93
37,T,F,2.8893,1.9249,5.46,31.8,0.47,2020 Nov 9.88
38,T,F,2.8852,1.9884,9.9,29.82,1.31,2020 Nov 21.82
39,T,F,2.8849,1.9954,10.25,29.68,1.37,2020 Nov 22.83
40,T,F,3.0046,2.6944,19.01,133.49,14.77,2021 Nov 14.46
41,T,F,3.0267,2.4107,16.37,135.37,16.92,2021 Dec 8.81
42,T,F,3.0593,2.1547,8.62,132.09,19.36,2022 Jan 12.01
43,T,F,3.0593,2.1548,8.64,132.09,19.36,2022 Jan 11.96
44,T,F,3.0594,2.1541,8.59,132.06,19.37,2022 Jan 12.15
45,T,F,3.0602,2.1515,8.42,131.92,19.4,2022 Jan 12.89
46,T,F,3.072,2.1292,6.35,129.5,19.68,2022 Jan 24.89
47,T,F,3.146,2.7269,17.85,123.15,15.08,2022 Apr 6.90
48,T,F,3.4703,2.589,8.8,204.91,6.23,2023 Mar 14.04
